venue_name,city,state_code,capacity,capacity_type,source_url,notes
Camp Navarro,Navarro,CA,1500,approx,https://www.campnavarro.com/campfacilities,Up to 1500 for festivals with camping; typical events ~300 guests
Caravan Lounge,San Jose,CA,,unknown,,Dive bar; no findable capacity
Cardiff & Cocktails,San Francisco,CA,,unknown,,No findable capacity
Cat Alley Street,San Francisco,CA,,unknown,,DIY street/alley spot; no findable capacity
Cat Club,San Francisco,CA,400,approx,https://www.sfstation.com/cat-club-b1982,Sources cite 300-400; 1190 Folsom
Cesar Chavez Plaza,Sacramento,CA,,unknown,,Outdoor plaza (Concerts in the Park); San Jose's Plaza de Cesar Chavez is cited ~8500 if that was meant
Channel 24,Sacramento,CA,2150,stated,https://channel24sac.com/venue-info/,Another Planet Entertainment venue opened 2025
Chug Pub,San Francisco,CA,,unknown,,No findable capacity
Club Cali,San Francisco,CA,,unknown,,No findable capacity
Club Six,San Francisco,CA,,unknown,,Closed multi-level club at 60 6th St; no published capacity found
Club Waziema,San Francisco,CA,,unknown,,Divisadero bar; no findable capacity
Constellation Room,Santa Ana,CA,,unknown,,side room of The Observatory OC; commonly reported ~250-300 but no credible source located within search budget - left unknown per rules
Continental Club,San Francisco,CA,,unknown,,Ambiguous venue name; no findable capacity
Cooks Valley Campground,Piercy,CA,6000,approx,https://northernnights.org/info/,Northern Nights festival site; festival capped ~6000 attendees
Cornerstone,Berkeley,CA,600,stated,https://cornerstoneberkeley.com/venue,2367 Shattuck Ave; craft beer garden + music hall
Cow Palace,Daly City,CA,16500,stated,https://en.wikipedia.org/wiki/Cow_Palace,10100 permanent seats; 10300-16500 by configuration
Cow Palace Daly City,Daly City,CA,16500,stated,https://en.wikipedia.org/wiki/Cow_Palace,Duplicate of Cow Palace
Crybaby,Oakland,CA,400,approx,https://www.kqed.org/arts/13910010/crybaby-nightclub-oakland-opening-uptown,Press says 400-person capacity; some listings say 600+; former Uptown Nightclub
Dahlia Lounge,San Francisco,CA,,unknown,,No findable capacity
Dave & Buster+s,San Francisco,CA,,unknown,,Chain arcade/restaurant; no fixed music capacity
Decodance Bar,San Francisco,CA,155,stated,https://www.tagvenue.com/us/venues/san-francisco/24350/decodance-bar,Art deco dance bar at 1160 Polk St
Discovery Meadow,San Jose,CA,26000,approx,https://www.sanjose.com/discovery-meadow-b7442,Outdoor park; max capacity ~26000
DNA Lounge,San Francisco,CA,800,stated,https://en.wikipedia.org/wiki/DNA_Lounge,Main room 800; all four rooms combined ~1100
Drake's Brewing Company,San Leandro,CA,,unknown,,Barrel House taproom; The Barn (West Sacramento) listed separately
Drake's The Barn,West Sacramento,CA,400,stated,https://www.cvent.com/venues/west-sacramento/special-event-venue/drake-s-the-barn/venue-d3efd9b4-9acb-44c6-819a-a37906427d4e,Seating capacity 400; outdoor riverfront lawn concerts can be larger
Duffy's Tavern,San Francisco,CA,,unknown,,No findable capacity
Eastridge Mall,San Jose,CA,,unknown,,Mall; no fixed event capacity
El Rio,San Francisco,CA,500,approx,https://www.indieonthemove.com/venues/el-rio-san-francisco-california,Listed as 100+ inside / 400+ patio; ~500 combined
Elbo Room Jack London,Oakland,CA,,unknown,,Two-story club at 311 Broadway; no published capacity
Envelop At The Midway,San Francisco,CA,75,stated,https://www.envelop.us/envelop-sf/,32-speaker immersive audio room inside The Midway complex
Eria,San Francisco,CA,,unknown,,Roving party/brand (also at Trident in Sausalito); no fixed venue capacity
Eria at Trident Restaurant,Sausalito,CA,,unknown,,Eria party at Trident restaurant; no published capacity
Eria Marina,San Francisco,CA,,unknown,,Eria party brand event; no fixed venue capacity
F8 1192 Folsom,San Francisco,CA,250,stated,https://www.cvent.com/venues/san-francisco/bar-club/f8-nightclub-and-bar/venue-817fe0d0-f7b9-47be-911e-a469593490db,Standing 250 / seated 155; one 2017 press mention of 300
Faces,Sacramento,CA,1000,stated,https://www.travelgay.com/venue/faces-sacramento,3 dance floors; 2000 K St
Fisherman's Wharf,San Francisco,CA,,unknown,,District not a venue; no fixed capacity
Flagship Taproom,San Francisco,CA,,unknown,,Taproom; no findable capacity
Fluid510,Oakland,CA,250,stated,https://www.eventective.com/oakland-ca/fluid510-766550.html,Standing 250; Loft holds 40; 1544 Broadway
Forbes Island,San Francisco,CA,,unknown,,Former floating island restaurant at Pier 39; no published capacity
Forbes Island Sacramento River Delta,San Francisco,CA,,unknown,,Floating island venue relocated to the Delta; no published capacity
Fox Theater,Oakland,CA,2800,stated,https://en.wikipedia.org/wiki/Fox_Oakland_Theatre,Flexible 1500-2800 by configuration
Frey Winery,San Francisco,CA,,unknown,,Mendocino County winery; no published event capacity
Gateway Mendocino,Mendocino,CA,,unknown,,Festival/retreat site; no published capacity
Gold Bar Whiskey Distillery Tasting Room,San Francisco,CA,,unknown,,No findable capacity
Golden Gate Park,San Francisco,CA,,unknown,,Public park; event capacity varies by permit (Outside Lands ~75k/day)
Goldfield Trading Post,Sacramento,CA,300,stated,https://goldfieldtradingpost.com/faqs/,1630 J St; chain also has a Roseville location
Good Karma,San Jose,CA,,unknown,,Assumed Good Karma Artisan Ales bar; no published capacity
Gray Area,San Francisco,CA,668,stated,https://www.san-francisco-theater.com/venues/gray-area-grand-theater,Grand Theater; Half Theater 300; one source cites 800
Great American Music Hall,San Francisco,CA,700,approx,https://gamh.com/,Commonly cited ~470-750 by configuration; 700 standing is most-cited figure
Greek Theatre,Berkeley,CA,8500,stated,https://en.wikipedia.org/wiki/Hearst_Greek_Theatre,Hearst Greek Theatre at UC Berkeley
Guildhouse,San Jose,CA,,unknown,,Duplicate of The Guildhouse; no published capacity
Halcyon,San Francisco,CA,400,stated,https://halcyon-sf.com/main/one-of-a-kind-electronic-music-venue-halcyon-adds-new-energy-to-sf-nightlife/,314 11th St warehouse club (SOMA); club has since closed
Harlow's,Sacramento,CA,530,stated,https://www.harlows.com/faq/,Main room; mostly standing-room shows; Starlet Room upstairs listed separately
Hawthorn,San Francisco,CA,325,stated,https://hawthornsf.com/private-events/,Full venue; Main Room 250 + Bonaparte Room 75
Hedge Coffee,San Francisco,CA,,unknown,,Coffee shop; no findable capacity
Hella Bees,San Francisco,CA,,unknown,,No findable capacity
Hello Stranger Bar,Oakland,CA,,unknown,,Compact dance-floor bar at 1724 Broadway; no published capacity
Hopmonk Tavern,Novato,CA,225,approx,https://www.indieonthemove.com/venues/hopmonk-tavern-the-session-room-novato-california,Session Room; sources cite 175-250; chain also in Sebastopol/Sonoma
Hotel Via,San Francisco,CA,225,stated,https://thevendry.com/venue/20808/hotel-via-san-francisco-ca/space/3026,Events are on the rooftop (Rooftop at VIA)
Hotel Via Rooftop,San Francisco,CA,225,stated,https://thevendry.com/venue/20808/hotel-via-san-francisco-ca/space/3026,Duplicate of Via Hotel Rooftop
Humble Sea Beer Garden on the Wharf,Santa Cruz,CA,,unknown,,Beer garden; no published capacity
Ivan'z House at Mozambique,Laguna Beach,CA,300,stated,https://ivanzhouselive.com/,seating for 300+; 2nd-floor music room at Mozambique restaurant
Kilowatt Bar,San Francisco,CA,,unknown,,Mission dive bar; no findable capacity
Kip's,Berkeley,CA,,unknown,,Campus bar; no findable capacity
Laguna Creek Beach,San Francisco,CA,,unknown,,Outdoor site; no findable capacity
Laguna Lab,San Francisco,CA,,unknown,,No findable capacity
Lake Merritt,Oakland,CA,,unknown,,Outdoor public space; no fixed capacity
Lake Merritt Pergola,Oakland,CA,,unknown,,Outdoor public landmark; no fixed capacity
Lock And Key Aka Key Club,San Francisco,CA,,unknown,,No findable capacity
Lowbrau,Sacramento,CA,,unknown,,Beer hall with shows in MARRS building; no published capacity
Mad Oak,Oakland,CA,,unknown,,Bar with yard; no published capacity
Mad Oak Bar +N+ Yard,Oakland,CA,,unknown,,Duplicate of Mad Oak; no published capacity
Madarae,San Francisco,CA,1000,approx,https://alotea.com/san-francisco/nightclubs/madarae,Sources conflict (180 to 1000); Minna Room 225; occupies former Temple space at 46 Minna
Madrone Art Bar,San Francisco,CA,100,stated,https://www.indieonthemove.com/venues/madrone-art-bar-san-francisco-california,500 Divisadero
Make-Out Room,San Francisco,CA,200,approx,https://www.indieonthemove.com/venues/make-out-room-san-francisco-california,Sources cite 180-200
Miami Beach Club,San Francisco,CA,,unknown,,No findable capacity
Moe's Alley,Santa Cruz,CA,300,approx,https://moesalley.com/venue-info/,Sources cite 200-300
Monarch,San Francisco,CA,300,approx,https://www.indieonthemove.com/venues/monarch-san-francisco-california,Downstairs club ~250; total venue ~300
Monroe,San Francisco,CA,300,approx,https://thevendry.com/venue/119727/monroe-sf-san-francisco-ca,Listed as groups of 6 to 300+; 3000 sqft North Beach lounge
Monument SF,San Francisco,CA,,unknown,,Live/work art event space at 140 9th St; no published capacity
Mothership,San Francisco,CA,150,stated,https://thevendry.com/venue/158190/mothership-san-francisco-ca,Sci-fi cocktail bar/club at 3152 Mission St
Mothership Bar,San Francisco,CA,150,stated,https://thevendry.com/venue/158190/mothership-san-francisco-ca,Duplicate of Mothership
Mr. Mahjong's,San Francisco,CA,,unknown,,No findable capacity
Music Box,San Diego,CA,700,stated,https://musicboxsd.com/private-events/,705 per some listings; 3 levels
Myth Lounge,San Jose,CA,,unknown,,Assumed Myth Taverna & Lounge San Jose; no published capacity
Napa Music Hall,Napa,CA,650,stated,https://napamusichall.com/about/,Ballroom standing room; The Club downstairs 160 seated; former Napa Valley Opera House
Neck of the Woods,San Francisco,CA,400,approx,https://www.neckofthewoodssf.com/about-us/,two floors; upstairs ~350 + downstairs ~100 standing
Oakland Arena,Oakland,CA,19596,stated,https://en.wikipedia.org/wiki/Oakland_Arena,Concerts typically 13k-19k depending on stage configuration
Open Doors,San Francisco,CA,,unknown,,No findable capacity
Palace of Fine Arts,San Francisco,CA,960,stated,https://www.palaceoffinearts.org/seating,Theatre; sources cite 960-966 seats
Pappy and Harriets Pioneertown Palace,Pioneertown,CA,350,stated,https://pappyandharriets.com/info/,indoor stage 350; outdoor stage 850 per venue info
Peacock Lounge,San Francisco,CA,,unknown,,Small Haight bar; no findable capacity
Pete Be Center,San Francisco,CA,,unknown,,No findable capacity
Phoenix Hotel,San Francisco,CA,,unknown,,Hotel courtyard/pool events; no published capacity
Pier 80,San Francisco,CA,18000,stated,https://npu.co/venue/pier-80-shed-a/,Shed A warehouse (225k sqft); Portola Festival site
Pop's Bar,San Francisco,CA,,unknown,,Mission dive bar; no findable capacity
Public Works,San Francisco,CA,750,stated,https://publicsf.com/private-events/,Main Room 750; Loft 250
Public Works Loft,San Francisco,CA,250,stated,https://publicsf.com/private-events/,Loft room upstairs at Public Works
Pure Nightclub,Sunnyvale,CA,680,stated,https://www.purenightclub408.com/,8000 sqft multi-level club; first floor alone 600
Qbar,San Francisco,CA,,unknown,,Castro bar; no findable capacity
RampArt Skatepark,San Francisco,CA,,unknown,,Indoor skatepark used for shows; no published capacity
Regency Ballroom,San Francisco,CA,1400,stated,https://www.theregencyballroom.com/rental-info/,Duplicate of The Regency Ballroom
ReUnion Underground,San Francisco,CA,,unknown,,No published capacity found
Rickshaw Stop,San Francisco,CA,400,approx,https://rickshawstop.com/about/,Sources cite 350-400 standing
Roccapulco,San Francisco,CA,499,stated,https://www.bandsintown.com/v/10005818-roccapulco,Salsa supper club at 3140 Mission St
Salesforce Park,San Francisco,CA,,unknown,,Rooftop public park; no fixed capacity
San Jose Civic,San Jose,CA,3036,stated,https://en.wikipedia.org/wiki/San_Jose_Civic,Expandable to 3326 general admission
San Jose Convention Center,San Jose,CA,15586,stated,https://thevendry.com/venue/613/san-jose-mcenery-convention-center-san-jose-ca/space/60493,Exhibit halls theater-style capacity; 143k sqft
SF Eagle,San Francisco,CA,,unknown,,Leather bar with patio at 398 12th St; no published capacity
Shack15,San Francisco,CA,400,stated,https://www.cvent.com/venues/san-francisco/banquet-facility/shack15/venue-ffc05a00-9362-43a0-9f89-e08fad44b27b,Standing 400 / seated 350; Ferry Building top floor
Siesta Valley Bowl,San Francisco,CA,,unknown,,Outdoor bowl (Orinda area); no published capacity
Social Nightclub,Sacramento,CA,800,stated,https://socialnightclubsacramento.com/venue/,1000 K St downtown Sacramento
South Hayward Market,Hayward,CA,,unknown,,No findable capacity
Still OG,San Francisco,CA,,unknown,,No findable capacity
Tamarack,Oakland,CA,,unknown,,Bar; no findable capacity
TBA,San Francisco,CA,,unknown,,Placeholder/secret-location listing
TBA Soma,San Francisco,CA,,unknown,,Placeholder/secret-location listing
TBD,San Francisco,CA,,unknown,,Placeholder listing
Temple,San Francisco,CA,1000,stated,https://thevendry.com/venue/26609/temple-nightclub-san-francisco-san-francisco-ca/space/3345,Main room 1000; full venue up to 2000 (LVL 55 holds 400)
The Blue Lagoon,Santa Cruz,CA,400,approx,https://www.indieonthemove.com/venues/the-blue-lagoon-santa-cruz-california,Sources cite 395-400
The Catalyst,Santa Cruz,CA,800,stated,https://en.wikipedia.org/wiki/The_Catalyst_(nightclub),Main room 800; Atrium side room 350
The Chapel,San Francisco,CA,500,approx,https://www.indieonthemove.com/venues/the-chapel-san-francisco-california,~500 for music events; some listings cite up to 750-1000 for receptions
The Coach House,San Juan Capistrano,CA,480,approx,https://www.cvent.com/venues/san-juan-capistrano/entertainment-venue/the-coach-house/venue-b6d6ce2b-00e2-4a6e-b66d-ad0e4e092de7,~480 typical seated-dinner config; up to 660 standing per Cvent
The Colonial Theatre,Sacramento,CA,572,stated,https://colonialtheatre.biz/rental-information,Fixed seats; sources cite 550-580
The Continental,San Francisco,CA,,unknown,,Ambiguous venue name; no findable capacity
The Echo,Los Angeles,CA,350,stated,https://en.wikipedia.org/wiki/The_Echo_(venue),sister room Echoplex below holds ~780
The Flamingo House,Sacramento,CA,200,approx,https://www-eur.cvent.com/venues/sacramento/bar-club/the-flamingo-house-social-club/venue-89476e43-9f92-4b6b-badd-cd674a288dc4,Sources cite 198-200 standing / 100 seated
The Foundry,San Francisco,CA,500,stated,https://thevendry.com/venue/84772/the-foundry-sf-san-francisco-ca/space/142018,Standing full buyout; assumed The Foundry SF (ex Folsom Street Foundry) 1425 Folsom
The Gingerbread House,Oakland,CA,,unknown,,No findable capacity
The Gold Bar Hangar,San Francisco,CA,,unknown,,Gold Bar distillery hangar space; no published capacity
The Great Northern,San Francisco,CA,700,stated,https://www.thegreatnorthernsf.com/private-events,Full venue capacity
The Guildhouse,San Jose,CA,,unknown,,Esports/social gaming venue at 420 S 1st St; no published capacity
The Independent,San Francisco,CA,500,stated,https://www.theindependentsf.com/venue-info/,628 Divisadero; some sources 550
The Knockout,San Francisco,CA,132,stated,https://www.indieonthemove.com/venues/the-knockout-san-francisco-california,3223 Mission St dive/venue
The Loom,San Francisco,CA,,unknown,,No findable capacity
The Merlot Yacht Cruise on SF Bay,San Francisco,CA,,unknown,,Charter yacht event; no published capacity
The Midway,San Francisco,CA,2500,stated,https://corporate.themidwaysf.com/event-spaces-san-francisco/,Full venue; sources cite 2500-3000; largest room (Ride) 1500 standing
The Midway Gods and Monsters,San Francisco,CA,2500,approx,https://corporate.themidwaysf.com/event-spaces-san-francisco/,Alias of The Midway (event title appended in listing)
The Midway Patio,San Francisco,CA,,unknown,,Outdoor sub-space of The Midway (full venue ~2500); no per-space figure found
The Midway Terrace,San Francisco,CA,,unknown,,Outdoor sub-space of The Midway (full venue ~2500); no per-space figure found
The Moroccan Lounge,Los Angeles,CA,250,stated,https://themoroccan.com/private-events/,room for 250 per venue
The Press Club,Sacramento,CA,250,approx,https://pressclubsac.com/venue/the-press-club/,Sources cite 200-250; relocated to a larger space
The Prop Shop,San Francisco,CA,,unknown,,DIY/underground space; no findable capacity
The Regency Ballroom,San Francisco,CA,1400,stated,https://www.theregencyballroom.com/rental-info/,Reception/GA max; 700 theatre-style
The Rink Studios,Sacramento,CA,550,approx,https://www.therinkstudiossac.com/frequently-asked-questions,550 standing / 350 seated; sources vary 450-574
The Ritz,San Jose,CA,500,stated,https://www.indieonthemove.com/venues/the-ritz-san-jose-california,500 standing / 375 seated
The Ruins,San Francisco,CA,,unknown,,DIY space; no findable capacity
The Rumpusroom,San Francisco,CA,,unknown,,No findable capacity
The Sea Star Bar,San Francisco,CA,,unknown,,Dogpatch bar; no findable capacity
The Starlet Room,Sacramento,CA,200,approx,https://www.harlows.com/venue/the-starlet-room/,Sources cite 200-250; upstairs room above Harlow's
The Stud,San Francisco,CA,,unknown,,Reopened 2024 at 1123 Folsom in ~2x the old 2800 sqft space; no published capacity
The Valencia Room,San Francisco,CA,350,stated,https://www.indieonthemove.com/venues/the-valencia-room-san-francisco-california,Former Elbo Room (647 Valencia); private events up to 500
The Warfield,San Francisco,CA,2300,approx,https://en.wikipedia.org/wiki/Warfield_Theatre,Sources cite 2250-2470 depending on configuration
The Wiltern,Los Angeles,CA,2300,stated,https://specialevents.livenation.com/venues/the-wiltern,2300 standing-room config / 1850 seated theater
Thee Stork Club,Oakland,CA,250,approx,https://www.bandsintown.com/v/10002402-stork-club,Sources cite 150-250
There/There Bar,San Francisco,CA,,unknown,,No findable capacity
Transplants Brewing Company,Palmdale,CA,300,approx,https://www.indieonthemove.com/venues/transplants-brewing-company-palmdale-california,brewery event space ~3000 sqft
Ugra Deva Loka,San Francisco,CA,,unknown,,No findable capacity
Underground,San Francisco,CA,,unknown,,Possibly Underground SF (424 Haight); ambiguous; no verified capacity
Unzipped Gardens,San Francisco,CA,,unknown,,No findable capacity
Veni Vidi Vici,San Francisco,CA,,unknown,,No findable capacity
Verve Coffee,San Francisco,CA,,unknown,,Coffee shop; no findable capacity
Via Hotel Rooftop,San Francisco,CA,225,stated,https://thevendry.com/venue/20808/hotel-via-san-francisco-ca/space/3026,Rooftop at VIA; 3000 sqft
Vintage Space at the Flamingo Resort & Spa,Santa Rosa,CA,,unknown,,Resort event space; no published capacity found
Voodoo Room at the House of Blues San Diego,San Diego,CA,250,stated,https://sandiego.houseofblues.com/shows/rooms/voodoo-room,private-event config 200 standing/90 seated
Whisky A Go Go,West Hollywood,CA,500,stated,https://whiskyagogo.com/calendar/about/venue-specs/,~500 per venue specs
White Horse Inn,Oakland,CA,,unknown,,Oldest continuously operating US gay bar (6551 Telegraph); no published capacity
White Rabbit,San Francisco,CA,,unknown,,No findable capacity
Wolfe Heights Estate Winery,Sacramento,CA,,unknown,,Winery event site; no published capacity
X-Bar,San Francisco,CA,,unknown,,No findable capacity
XeX,San Francisco,CA,,unknown,,No findable capacity
XEX Club,San Francisco,CA,,unknown,,Duplicate of XeX; no findable capacity
Yerba Buena Estudios,San Francisco,CA,,unknown,,No findable capacity
Youssefi Square,San Francisco,CA,,unknown,,No findable capacity
Zhuzh,San Francisco,CA,,unknown,,Bar; no findable capacity
Ball Arena,Denver,CO,20000,stated,https://en.wikipedia.org/wiki/Ball_Arena,concert config up to ~20000 (21000 max end-stage); 19099 basketball
Black Sheep,Colorado Springs,CO,450,approx,https://www.uncovercolorado.com/activities/black-sheep-rocks/,mostly standing room
La Rumba,Denver,CO,750,approx,https://www.denver-theater.com/venues/la-rumba,single third-party '750-seat' figure; unverified - Latin dance club may be smaller in practice
Marquis,Denver,CO,450,approx,https://www.partyslate.com/venues/marquis-theater,Marquis Theater; sources 325-450
Red Rocks Amphitheatre,Morrison,CO,9525,stated,https://en.wikipedia.org/wiki/Red_Rocks_Amphitheatre,9525 across 70 rows of bench seating
Summit Music Hall,Denver,CO,,unknown,,commonly reported ~1300 but no credible source located within search budget - left unknown per rules
9:30 CLUB,Washington,DC,1200,stated,https://en.wikipedia.org/wiki/9:30_Club,standing room + wraparound balcony
The Atlantis,Washington,DC,450,stated,https://en.wikipedia.org/wiki/The_Atlantis_(music_venue),replica of original 9:30 Club; opened 2023
Conduit,Winter Park,FL,350,approx,https://thevendry.com/venue/171485/conduit-winter-park-fl,350-cap room
Lil' Indies,Orlando,FL,,unknown,,small sister bar of Will's Pub; no published capacity found
Will's Pub,Orlando,FL,200,approx,https://www.indieonthemove.com/venues/wills-pub-orlando-florida,Mills 50 dive/venue since 1995
Eddie's Attic,Decatur,GA,185,approx,https://www.indieonthemove.com/venues/eddies-attic-decatur-georgia,185 commonly cited; seated-table config smaller
Vinyl,Atlanta,GA,300,stated,https://www.centerstage-atlanta.com/about-the-venues/,room within Center Stage complex (w/ The Loft and Center Stage Theater)
Blue Note Hawaii,Honolulu,HI,326,stated,https://www.cvent.com/venues/honolulu/entertainment-venue/blue-note-hawaii/venue-4b186b28-b8cd-43fc-a317-82350b2867cd,in Outrigger Waikiki Beach Resort
The Ingersoll,Des Moines,IA,,unknown,,venue at 3711 Ingersoll Ave; own site lists no capacity; no other credible source found
Empty Bottle,Chicago,IL,400,stated,https://en.wikipedia.org/wiki/Empty_Bottle,400 standing / 150 seated
FITZGERALDS NIGHTCLUB,Berwyn,IL,400,approx,https://www.indieonthemove.com/venues/fitzgeralds-berwyn-illinois,main club room ~400; complex-wide figures up to 750
FITZGERALDS PATIO,Berwyn,IL,100,approx,https://www.indieonthemove.com/venues/fitzgeralds-berwyn-illinois,outdoor patio: '100 seated outside' per listing; standing outdoor shows likely more - thin sourcing
Garcia's Chicago,Chicago,IL,300,approx,https://www.hollywoodreporter.com/music/music-news/garcias-jerry-garcia-concert-venue-chicago-1236169747/,press: 300-cap room; one source says 350
House of Blues Chicago,Chicago,IL,1400,stated,https://en.wikipedia.org/wiki/House_of_Blues,Wikipedia HOB table 1400; complex listings up to 1800 across all spaces
Kingston Mines - Chicago Blues Center,Chicago,IL,500,approx,https://www.choosechicago.com/listing/kingston-mines/,two stages; largest Chicago blues club
Reggies Music Joint,Chicago,IL,110,approx,https://en.wikipedia.org/wiki/Reggies,Music Joint room (bar+grill stage); some sources cite 350 standing; Reggies Rock Club next door is larger
SPACE,Evanston,IL,330,stated,https://evanstonspace.com/venueinfo,330 standing / 240 seated cabaret per venue
Thalia Hall,Chicago,IL,800,stated,https://www.thaliahallchicago.com/faq,800 standing / 240 seated
Old National Centre,Indianapolis,IN,2000,approx,https://www.partyslate.com/event-spaces/5964,AMBIGUOUS multi-room complex: Egyptian Room ~2000 standing/900 seated; Murat Theatre ~2500; TM name covers whole complex
Snug Harbor Jazz Bistro,New Orleans,LA,100,approx,https://www.indieonthemove.com/venues/snug-harbor-jazz-bistro-new-orleans-louisiana,sources 86-100 seats; two-floor music room w/ mezzanine
Brighton Music Hall presented by Citizens,Boston,MA,476,stated,https://crossroadspresents.com/pages/brighton-music-hall,GA standing; some sources round to 500
Citizens House of Blues Boston,Boston,MA,2425,stated,https://en.wikipedia.org/wiki/House_of_Blues,largest HOB; Lansdowne St by Fenway
Middle East - Corner/Bakery,Cambridge,MA,60,approx,https://www.indieonthemove.com/venues/the-middle-east-cambridge-massachusetts,Corner room of Middle East complex
Middle East - Upstairs,Cambridge,MA,194,stated,https://en.wikipedia.org/wiki/The_Middle_East_(nightclub),Upstairs room of Middle East complex
